[	X	nmod	CISCO
'	PUNCT	punct	Development
,	PUNCT	punct	Development
'	PUNCT	punct	processes
processes	NOUN	appos	Development
'	PUNCT	punct	processes
,	PUNCT	punct	processes
'	PUNCT	punct	Object
Object	NOUN	appos	processes
'	PUNCT	punct	Object
,	PUNCT	punct	Object
'	PUNCT	punct	oriented
oriented	ADJ	appos	CISCO
'	PUNCT	punct	oriented
,	PUNCT	punct	oriented
'	PUNCT	punct	programming
programming	NOUN	appos	CISCO
'	PUNCT	punct	programming
,	PUNCT	punct	programming
'	PUNCT	punct	Sound
Sound	NOUN	appos	programming
'	PUNCT	punct	Sound
,	PUNCT	punct	Sound
'	PUNCT	punct	Knowledge
Knowledge	NOUN	appos	Sound
'	PUNCT	punct	Knowledge
,	PUNCT	punct	CISCO
'	PUNCT	punct	python
python	NOUN	appos	CISCO
'	PUNCT	punct	python
,	PUNCT	punct	python
'	PUNCT	punct	sci
sci	NOUN	appos	python
'	PUNCT	punct	sci
,	PUNCT	punct	sci
'	PUNCT	punct	kit
kit	NOUN	appos	CISCO
'	PUNCT	punct	kit
,	PUNCT	punct	kit
'	PUNCT	punct	learn
learn	NOUN	appos	kit
'	PUNCT	punct	learn
,	PUNCT	punct	learn
'	PUNCT	punct	ker
ker	NOUN	appos	learn
'	PUNCT	punct	ker
,	PUNCT	punct	ker
'	PUNCT	punct	as
as	NOUN	appos	ker
'	PUNCT	punct	as
,	PUNCT	punct	kit
'	PUNCT	punct	Python
Python	PROPN	appos	kit
'	PUNCT	punct	Python
,	PUNCT	punct	Python
